,id,text,author
0,id21413,"This he poised suspiciously in his hand, then eyed it with an air of extreme surprise, and was evidently astonished at its weight.",EAP
1,id26139,"I would have seized him, but he eluded me and quitted the house with precipitation.",MWS
2,id03363,"Most of this information reached the outside world through young Jan Martense, who from some kind of restlessness joined the colonial army when news of the Albany Convention reached Tempest Mountain.",HPL
3,id27585,"My hair which had been raven black the day before, was as white as you see it now.",EAP
4,id05555,This I learned at once from newspaper accounts of the catastrophe which first brought the region to the world's notice.,HPL
5,id26033,"Past, present, future, all are one in Yog Sothoth.",HPL
6,id20292,I came in during the interval between the third and fourth act.,MWS
7,id05165,"""I shall perish,"" said he, ""I must perish in this deplorable folly.",EAP
8,id06231,"Very suddenly, and by some inconceivable impulse, I became intensely imbued with personal interest in what was going on.",EAP
9,id07098,My condition was now one of indescribable chaos.,HPL
10,id18446,I struggled to reason off the nervousness which had dominion over me.,EAP
11,id08576,Thus then I should meet this titled stripling the son of my father's friend.,MWS
12,id03054,"Here the bank slopes upward from the stream in a very gentle ascent, forming a broad sward of grass of a texture resembling nothing so much as velvet, and of a brilliancy of green which would bear comparison with the tint of the purest emerald.",EAP
13,id24112,"And here let me call your attention to the fact, that the time elapsing between the first ascertained, and the second supposed elopement, is a few months more than the general period of the cruises of our men of war.",EAP
14,id03357,"I touched it; and the head, with about a quarter of an inch of the shank, came off in my fingers.",EAP
15,id03220,"I refer to a sort of cloudy whitish pattern on the dirt floor a vague, shifting deposit of mould or nitre which we sometimes thought we could trace amidst the sparse fungous growths near the huge fireplace of the basement kitchen.",HPL
16,id02628,"Looking about me, I beheld many marble slabs bearing coffins, or the remains of coffins.",HPL
17,id22199,"Considering this topography, we had finally concluded that the daemon must have come by way of Cone Mountain, a wooded southern prolongation of which ran to within a short distance of the westernmost spur of Tempest Mountain.",HPL
18,id04909,Soon after my arrival in the hovel I discovered some papers in the pocket of the dress which I had taken from your laboratory.,MWS
19,id23644,"Having paid his debts, therefore, in the most honourable manner, he retreated with his daughter to the town of Lucerne, where he lived unknown and in wretchedness.",MWS
20,id10927,"Wait till I tell yer Uncle Chris when he gits hum Ye'd orta know these here woods ain't no fitten place to be traipsin' this hour They's things abroad what dun't do nobody no good, as my gran'sir' knowed afur me.",HPL
21,id25972,"But frost would come at last, and with it a renewal of our lease of earth.",MWS
22,id27001,"First, his having entered into any engagement that should permit her to remain in such a state of degradation; and then, after a short wild dream, having left her to drear solitude, anxious conjecture, and bitter, still disappointed expectation.",MWS
23,id24412,You may see him his hair stuck with wild flowers his eyes full of untraceable meaning his voice broken his person wasted to a shadow.,MWS
24,id01174,"My fate has been governed by necessity, a hideous necessity.",MWS
25,id00442,"The things we saw were very old and marvellous, or at least they seemed so in the few straggling rays of light by which I viewed them, and I shall never forget the tottering Ionic columns and fluted pilasters and urn headed iron fence posts and flaring lintelled windows and decorative fanlights that appeared to grow quainter and stranger the deeper we advanced into this inexhaustible maze of unknown antiquity.",HPL
26,id10523,"The upper lip, at the same time, writhed itself away from the teeth, which it had previously covered completely; while the lower jaw fell with an audible jerk, leaving the mouth widely extended, and disclosing in full view the swollen and blackened tongue.",EAP
27,id02978,I struggled with its weight; I placed it partially in its destined position.,EAP
28,id09234,"Miserable, unhappy wretch ""Other lessons were impressed upon me even more deeply.",MWS
29,id20049,"Yon dark, gloomy niche, too, yawns right opposite her chamber window what, then, could there be in its shadows in its architecture in its ivy wreathed and solemn cornices that the Marchesa di Mentoni had not wondered at a thousand times before?",EAP
30,id17874,"But I was not afraid long, for the gowned, slippered old man in the doorway had a bland face that reassured me; and though he made signs that he was dumb, he wrote a quaint and ancient welcome with the stylus and wax tablet he carried.",HPL
31,id02755,"I took leave of him amicably, and wish him all the success his talent promises.",HPL
